commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_content,post_builder_type,post_nixpkgs_base,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,change_category,diff_lines_added,diff_lines_removed,diff_lines_total,previous_update_date,previous_update_commit,days_since_previous_update,package_added_date,hybrid_build_success,hybrid_build_time,random_order,post_src_ref,post_src_ref_attr
8a45925d3567391944a2f50c009cc3a9730fb252,4c574b7e0c34cc7fb48a8b537abce9f2ed696c2a,2025-10-22,pkgs/by-name/de/dependabot-cli/package.nix,dependabot-cli,1.76.0,"fetchFromGitHub {␤    owner = ""dependabot"";␤    repo = ""cli"";␤    rev = ""v${version}"";␤    hash = ""sha256-fSb2zzddwGJ1r9NhPEhE1WCndyoBK4VLOP3CmQUcjy0="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,dependabot-cli,1.76.1,"fetchFromGitHub {␤    owner = ""dependabot"";␤    repo = ""cli"";␤    rev = ""v${version}"";␤    hash = ""sha256-i/Kr+69ws3HDWS+cQSn3cZzvW6GzKT+Avd3fZfvSA/c="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,5,5,10,2025-10-10,20c5058708cab2dccb0df952c331aa6cbfd63507,12,2023-11-08,FALSE,7.22,1,v1.76.1,rev
c0731d8ae067f4a4108ca0d1e415a93455217e7b,a6e232ca47d92085c6981654c84b7c6b34ff5292,2025-10-22,pkgs/by-name/cl/claude-code-router/package.nix,claude-code-router,1.0.59,"fetchFromGitHub {␤    owner = ""musistudio"";␤    repo = ""claude-code-router"";␤    rev = ""4617d66492cf37539d9567044f6ffec7844af2ee"";␤    hash = ""sha256-LC1JIOLaNLYNIIDofgFj+is4mwLjRjD3aAOt/nHRUmo="";␤  }",buildNpmPackage,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,claude-code-router,1.0.64,"fetchFromGitHub {␤    owner = ""musistudio"";␤    repo = ""claude-code-router"";␤    rev = ""1a4462a92362e8c41d4539dc1a79fb85fccf9559"";␤    hash = ""sha256-q818e8PcKjdBqYk6WfGLKQ8pybXWVxmNV8KX7GjEQq0="";␤  }",buildNpmPackage,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,1,5,6,2025-10-10,d4d2689fc05595eaaceebb41ad17c95d03b992f2,12,,FALSE,0.75,2,1a4462a92362e8c41d4539dc1a79fb85fccf9559,rev
e2a14b9697ba960be0ae8a08693bfa460ddcb999,d580dc1de23ac381ccb0f1b6feaf49f2e5b63255,2025-10-21,pkgs/by-name/am/amazon-q-cli/package.nix,amazon-q-cli,1.17.1,"fetchFromGitHub {␤    owner = ""aws"";␤    repo = ""amazon-q-developer-cli"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-bRin4JKnBsWLvk+dIwHWAf4KKD1n6FOf2wICYNZpHd4="";␤  }",buildRustPackage,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,amazon-q-cli,1.18.1,"fetchFromGitHub {␤    owner = ""aws"";␤    repo = ""amazon-q-developer-cli"";␤    tag = finalAttrs.version;␤    hash = ""sha256-wAcxXDEadPgyb3OpQXWxOEX3AMtf0ubx0J/H9Iff+rk="";␤  }",buildRustPackage,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,4,1,5,2025-10-06,98dc7af1ab8fb38be111168625e013e29e059419,15,2025-03-18,FALSE,25.21,3,1.18.1,tag
13080f7735f45db26781c56b21c960e39c84b0bb,689a0c5dadcaf985aadc29a3b0d5b8600d5016c6,2025-10-17,pkgs/by-name/fr/frozen/package.nix,frozen,unstable-2021-02-23,"fetchFromGitHub {␤    owner = ""cesanta"";␤    repo = ""frozen"";␤    rev = ""21f051e3abc2240d9a25b2add6629b38e963e102"";␤    hash = ""sha256-BpuYK9fbWSpeF8iPT8ImrV3CKKaA5RQ2W0ZQ03TciR0="";␤  }",mkDerivation,3cbe716e2346710d6e1f7c559363d14e11c32a43,frozen,1.7,"fetchFromGitHub {␤    owner = ""cesanta"";␤    repo = ""frozen"";␤    tag = finalAttrs.version;␤    hash = ""sha256-dOQb6wVufkqOSVZa2o8A1DLad0zvo2xQzmu09J2ZT7E="";␤  }",mkDerivation,34761aab73dd38c9b61f92838c9055a96e46593c,TRUE,TRUE,TRUE,FALSE,FALSE,version_bump,2,2,4,2025-03-13,e6fe6f4b7ccc74e0a3d2a0eccabd527c7b12b2fd,218,2024-11-09,TRUE,0.53,4,1.7,tag
2a6c2031739d2ef0832971fd9d981bbb3864b2ae,85a03d7c9812447f9149ee10d081bc7ee22a77f4,2025-10-21,pkgs/by-name/we/werf/package.nix,werf,2.49.0,"fetchFromGitHub {␤    owner = ""werf"";␤    repo = ""werf"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-K999EgTbyQeLO1xm94WeOAQ5Ld3stOuAI4LGs4fSU5g="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,werf,2.51.0,"fetchFromGitHub {␤    owner = ""werf"";␤    repo = ""werf"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-ZvEX834FLSQ5va5hbWxDibx0D6r9RZ8y4S6kNhVUEpM="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,5,5,10,2025-10-12,82a8b2ccc47db01908b316565fb96828d8020bdc,9,2024-06-18,FALSE,29.75,5,v2.51.0,tag
78729c2c4a98cfe7ecc046114519c0e0968d4609,5e2a59a5b1a82f89f2c7e598302a9cacebb72a67,2025-10-21,pkgs/by-name/qd/qdmr/package.nix,qdmr,0.12.3,"fetchFromGitHub {␤    owner = ""hmatuschek"";␤    repo = ""qdmr"";␤    rev = ""v${version}"";␤    hash = ""sha256-rb59zbYpIziqXWTjTApWXnkcpRiAUIqPiInEJdsYd48="";␤  }",mkDerivation,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,qdmr,0.13.1,"fetchFromGitHub {␤    owner = ""hmatuschek"";␤    repo = ""qdmr"";␤    rev = ""v${version}"";␤    hash = ""sha256-Vz7di9VwrvtSCea3pipSCEw9pHfRv9lJn9jKzboyh6E="";␤  }",mkDerivation,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,11,7,18,2025-09-27,2825dc337d38fc64ff16864af6be38d8a4219c88,24,2025-06-26,FALSE,3.19,6,v0.13.1,rev
9ac9b3e391e05158745775782931b934a8229f2d,627630276c62426e9468295b5aaac6971c7fc24a,2025-10-21,pkgs/by-name/op/opencode/package.nix,opencode,0.15.8,"fetchFromGitHub {␤    owner = ""sst"";␤    repo = ""opencode"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-6brfh6yTFGnhUo9kZ5VAcC1whhMPJYYwVIT7j6g+wkw="";␤  }",mkDerivation,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,opencode,0.15.10,"fetchFromGitHub {␤    owner = ""sst"";␤    repo = ""opencode"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-aP0CLHfuF21GXIvBTgs8RWpcCXOwy1oPW2P8jEU/4u4="";␤  }",mkDerivation,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,4,4,8,2025-10-18,7af066a57bf853e0c6013b371c9896dcac7b0397,3,2025-04-27,FALSE,13.14,7,v0.15.10,tag
3379edc0b0e819751e666ed085f4fc1c1fe6a131,5e2a59a5b1a82f89f2c7e598302a9cacebb72a67,2025-10-21,pkgs/by-name/ro/rotonda/package.nix,rotonda,0.4.2,"fetchFromGitHub {␤    owner = ""NLnetLabs"";␤    repo = ""rotonda"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-B2sdQr9PctWZBpDuatJkUApW5T98BQa4HiqL8+HHevY="";␤  }",buildRustPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,rotonda,0.5.0,"fetchFromGitHub {␤    owner = ""NLnetLabs"";␤    repo = ""rotonda"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-7SVhxUpQq1CCDYNc0xza/2ixjKF8kHBSobt4S+azLQU="";␤  }",buildRustPackage,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,7,4,11,2025-08-11,04b0a4711b54af98cb55f68263cf8e3d904c6b7a,71,2024-01-23,FALSE,16.62,8,v0.5.0,tag
f6a4e3502e0494e0c7b975707faee2ba618ca5bd,3c3988cce18bf31db263dd0374e34cb65e696def,2025-10-21,pkgs/by-name/sl/slade/package.nix,slade,3.2.7,"fetchFromGitHub {␤    owner = ""sirjuddington"";␤    repo = ""SLADE"";␤    tag = finalAttrs.version;␤    hash = ""sha256-+i506uzO2q/9k7en6CKs4ui9gjszrMOYwW+V9W5Lvns="";␤  }",mkDerivation,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,slade,3.2.8,"fetchFromGitHub {␤    owner = ""sirjuddington"";␤    repo = ""SLADE"";␤    tag = finalAttrs.version;␤    hash = ""sha256-skJpcxLSInAzBHGtxdTWAqocXQKKQY7vJfUx8ZAlMqc="";␤  }",mkDerivation,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,2,4,2025-08-26,0002bb7cd225da193572ccc6f18d1e5ff814b78c,56,2025-08-26,FALSE,2.12,9,3.2.8,tag
2d230472558f82593409fd0e09ff04ed6406f4c8,3d0c36a934d3f07f97b4f4b9d795ed3d43e9b19c,2025-10-20,pkgs/by-name/fo/forgejo-runner/package.nix,forgejo-runner,11.1.2,"fetchFromGitea {␤    domain = ""code.forgejo.org"";␤    owner = ""forgejo"";␤    repo = ""runner"";␤    rev = ""v${version}"";␤    hash = ""sha256-/rkBrG8hRn52M1ybjbWtSDFYsJ4fHzw9qAoc5325g9A="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,forgejo-runner,11.2.0,"fetchFromGitea {␤    domain = ""code.forgejo.org"";␤    owner = ""forgejo"";␤    repo = ""runner"";␤    rev = ""v${version}"";␤    hash = ""sha256-hjrn36Fm2kIKqn16DOPcrMF38dhsGOZVHCTrhkS99QQ="";␤  }",buildGoModule,cb82756ecc37fa623f8cf3e88854f9bf7f64af93,TRUE,TRUE,FALSE,FALSE,FALSE,version_bump,2,1,3,2025-10-03,dc9896f546b4cb82d4ad84a343760f703f726031,17,2024-04-04,FALSE,9,10,v11.2.0,rev
