commit_hash,parent_commit,commit_date,package_path,pre_pname,pre_version,pre_fetcher_type,pre_fetcher_content,pre_builder_type,pre_nixpkgs_base,post_pname,post_version,post_fetcher_type,post_fetcher_content,post_builder_type,post_nixpkgs_base,fully_qualified_name,version_changed,fetcher_hash_changed,fetcher_url_changed,fetcher_type_changed,builder_changed,diff_lines_added,diff_lines_removed,diff_lines_total,input_drvs_match,input_drvs_diff_count,package_attr,input_drvs_error,post_build_time,post_src_ref,hybrid_build_success,hybrid_build_time,random_order
f6da335e9b5fdb25559936990e7cae6749be0f92,257aa2b0468e689341d21a0f36be855d0802e9ca,2025-10-19,pkgs/development/python-modules/castepxbin/default.nix,castepxbin,0.3.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zhubonan"";␤    repo = ""castepxbin"";␤    tag = ""v${version}"";␤    hash = ""sha256-6kumVnm4PLRxuKO6Uz0iHzfYuu21hFC7EPRsc3S1kxE="";␤  }",buildPythonPackage,36226520e9f7a35bf341cbe3b6a1ff9047bec6d9,castepxbin,0.3.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""zhubonan"";␤    repo = ""castepxbin"";␤    tag = ""v${version}"";␤    hash = ""sha256-M+OoKr9ODIp47gt64hf47A1PblyZpBzulKI7nEm8hdo="";␤  }",buildPythonPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,python3Packages.castepxbin,TRUE,TRUE,FALSE,FALSE,FALSE,0,7,7,FALSE,1,python3Packages.castepxbin,FALSE,0.7524731159,v0.3.1,TRUE,0.8753581047,1
0afa0fafce2489f8641d9a8b656487e218ff74ec,c231242f00f120aa8523290fbfdbfdadd3818c66,2025-10-18,pkgs/by-name/ra/ramalama/package.nix,ramalama,0.12.3,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""ramalama"";␤    tag = ""v${version}"";␤    hash = ""sha256-PnuAPQ9RF7IRnmHtUrwDRXIKEzZBDEU2mWfG5FyfY0c="";␤  }",buildPythonApplication,34761aab73dd38c9b61f92838c9055a96e46593c,ramalama,0.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""containers"";␤    repo = ""ramalama"";␤    tag = ""v${version}"";␤    hash = ""sha256-S4TZN+vExZ/5KJOgkhwlX0p+xPDI6tjmS2WDWgXzDOI="";␤  }",buildPythonApplication,87848bf0cc4f87717fc813a4575f07330c3e743c,ramalama,TRUE,TRUE,FALSE,FALSE,FALSE,18,11,29,FALSE,2,ramalama,FALSE,1.864339352,v0.13.0,FALSE,,2
d9397fe5af28e91c1e98c9b5f6a42198cc98c793,d61350a2d10fbe8fb298dab19bd830db0f963758,2025-10-18,pkgs/development/python-modules/sigstore-protobuf-specs/default.nix,sigstore-protobuf-specs,0.3.2,fetchPypi,"fetchPypi {␤    pname = ""sigstore_protobuf_specs"";␤    inherit version;␤    hash = ""sha256-yuBBtAUCYAuKYz9DwldpXQIiqU76HlEQp+x62njDnZk="";␤  }",buildPythonPackage,34761aab73dd38c9b61f92838c9055a96e46593c,sigstore-protobuf-specs,0.5.0,fetchPypi,"fetchPypi {␤    pname = ""sigstore_protobuf_specs"";␤    inherit version;␤    hash = ""sha256-zvnrMrLGwlHeNuIoWkCq8glIJ+rhifXngE10jMw9W4E="";␤  }",buildPythonPackage,87848bf0cc4f87717fc813a4575f07330c3e743c,python3Packages.sigstore-protobuf-specs,TRUE,TRUE,FALSE,FALSE,FALSE,0,3,3,FALSE,2,python3Packages.sigstore-protobuf-specs,FALSE,1.764844179,0.5.0,TRUE,1.825301409,3
4eb419e295309c30b48c167abd7c79e4fe9bc00a,3b837fa81a2be3f89f97a5a90975cbd2191af803,2025-09-29,pkgs/by-name/gl/gleam/package.nix,gleam,1.12.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""gleam-lang"";␤    repo = ""gleam"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-Qjl+I09tnBbGc771SVJVb6fzAZ2tVOnBNhGfrIUh824="";␤  }",buildRustPackage,d7f52a7a640bc54c7bb414cca603835bf8dd4b10,gleam,1.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""gleam-lang"";␤    repo = ""gleam"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-06ap5z1vtv2Rsd98LcLRpvxff1NfkuHNdI844DZuEhQ="";␤  }",buildRustPackage,87848bf0cc4f87717fc813a4575f07330c3e743c,gleam,TRUE,TRUE,FALSE,FALSE,FALSE,3,3,6,FALSE,2,gleam,FALSE,2.805406809,v1.13.0,FALSE,,4
99b552542d927552c2dbfc144bd85b09ad7b34e2,a599fde7a9a3c08cf77281163c55b3dffbe58afb,2025-10-17,pkgs/development/python-modules/asyncpraw/default.nix,asyncpraw,7.8.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""praw-dev"";␤    repo = ""asyncpraw"";␤    tag = ""v${version}"";␤    hash = ""sha256-glWAQoUjMFbjU3C4+MGuRGSGJS9mun15+6udMPCf9nU="";␤  }",buildPythonPackage,34761aab73dd38c9b61f92838c9055a96e46593c,asyncpraw,7.8.1-unstable-2025-10-08,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""praw-dev"";␤    repo = ""asyncpraw"";␤    rev = ""9221cbef5d94fce9ecc92376cbab084f0082502d"";␤    hash = ""sha256-/7x7XYw1JDVaoc2+wKWW3iUkyfI6MVtBNP9G1AEUp4Y="";␤  }",buildPythonPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,python3Packages.asyncpraw,TRUE,TRUE,TRUE,FALSE,FALSE,12,16,28,FALSE,9,python3Packages.asyncpraw,FALSE,2.332769871,9221cbef5d94fce9ecc92376cbab084f0082502d,FALSE,,5
b9e30a0bb6d4ed9b3cc78ba9a4fdec26d6fb1807,3dbb3a5929fb63cfba97c71148875d21963b839e,2025-10-18,pkgs/by-name/sb/sbctl/package.nix,sbctl,0.17,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Foxboron"";␤    repo = ""sbctl"";␤    tag = version;␤    hash = ""sha256-7dCaWemkus2GHxILBEx5YvzdAmv89JfcPbqZZ6QwriI"";␤  }",buildGoModule,36226520e9f7a35bf341cbe3b6a1ff9047bec6d9,sbctl,0.18,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""Foxboron"";␤    repo = ""sbctl"";␤    tag = version;␤    hash = ""sha256-Q8uQ74XvteMRcnUPu1PjLAPWt3jeI7aF4m3QMjiZJis="";␤  }",buildGoModule,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,sbctl,TRUE,TRUE,FALSE,FALSE,FALSE,6,1,7,FALSE,2,sbctl,FALSE,0.7144236565,0.18,FALSE,,6
a599fde7a9a3c08cf77281163c55b3dffbe58afb,0d6b75a730ae6d77480ee91f477847d45d36bce9,2025-10-17,pkgs/development/python-modules/asyncprawcore/default.nix,asyncprawcore,2.4.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""praw-dev"";␤    repo = ""asyncprawcore"";␤    tag = ""v${version}"";␤    hash = ""sha256-FDQdtnNjsbiEp9BUYdQFMC/hkyJDhCh2WHhQWSQwrFY="";␤  }",buildPythonPackage,34761aab73dd38c9b61f92838c9055a96e46593c,asyncprawcore,3.0.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""praw-dev"";␤    repo = ""asyncprawcore"";␤    tag = ""v${version}"";␤    hash = ""sha256-0FOMY/0LXGcHwDe4t+NMAovMhX83/mMv8sWvIf5gxok="";␤  }",buildPythonPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,python3Packages.asyncprawcore,TRUE,TRUE,FALSE,FALSE,FALSE,6,10,16,FALSE,6,python3Packages.asyncprawcore,FALSE,1.761119843,v3.0.2,FALSE,,7
3aade266ca88c9cbcbafeea5c7f3e08c1bee9c47,2b960c563e802545dcb2628da0643b640ee4526e,2025-10-18,pkgs/by-name/na/naja/package.nix,naja,0.2.2,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""najaeda"";␤    repo = ""naja"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-cm9MwN60R/K2bL4FWpvusFmb2ENYEYg8NcMVgmeTj0c="";␤    fetchSubmodules = true;␤  }",mkDerivation,34761aab73dd38c9b61f92838c9055a96e46593c,naja,0.2.12,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""najaeda"";␤    repo = ""naja"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-NqxgFAD/JHh1rgtuv/NTda5oEx79NgdafL3fDLJO2kU="";␤    fetchSubmodules = true;␤  }",mkDerivation,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,naja,TRUE,TRUE,FALSE,FALSE,FALSE,9,3,12,TRUE,0,naja,FALSE,1.123542309,v0.2.12,FALSE,,8
55f805648053b70373a115c06a99e62c60abd9de,268a04b8fa2c71f6abc148887a4e5ba93cb8c450,2025-10-17,pkgs/development/python-modules/pysqueezebox/default.nix,pysqueezebox,0.12.1,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""rajlaud"";␤    repo = ""pysqueezebox"";␤    tag = ""v${version}"";␤    hash = ""sha256-Bi809OzIoQ2TJH77kZlsSSPEmDNgz6hAybmOXbFn3LM="";␤  }",buildPythonPackage,34761aab73dd38c9b61f92838c9055a96e46593c,pysqueezebox,0.13.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""rajlaud"";␤    repo = ""pysqueezebox"";␤    tag = ""v${version}"";␤    hash = ""sha256-1kkvqmmO197IjIcUlnmnKoeOq+0njbrgwogDU+ivIqw="";␤  }",buildPythonPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,python3Packages.pysqueezebox,TRUE,TRUE,FALSE,FALSE,FALSE,2,8,10,FALSE,1,python3Packages.pysqueezebox,FALSE,1.683199406,v0.13.0,FALSE,,9
1eb37b41331d71742fe1c26c2c48cadadebb6abb,c231242f00f120aa8523290fbfdbfdadd3818c66,2025-10-18,pkgs/by-name/rb/rbspy/package.nix,rbspy,0.34.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""rbspy"";␤    repo = ""rbspy"";␤    tag = ""v${version}"";␤    hash = ""sha256-yVcVuMCyvk9RbkbKomqjkLY+p5tUzW2zcAKZ8XfsjM0="";␤  }",buildRustPackage,34761aab73dd38c9b61f92838c9055a96e46593c,rbspy,0.38.0,fetchFromGitHub,"fetchFromGitHub {␤    owner = ""rbspy"";␤    repo = ""rbspy"";␤    tag = ""v${finalAttrs.version}"";␤    hash = ""sha256-6pQoCPwrIKaEUYgaHNgFLz+bY4p+ImlhZ2l2vehA4Ic="";␤  }",buildRustPackage,63bdb5d90fa2fa11c42f9716ad1e23565613b07c,rbspy,TRUE,TRUE,TRUE,FALSE,FALSE,6,10,16,TRUE,0,rbspy,FALSE,1.151457071,v0.38.0,FALSE,,10
