issue_number,repo_url
412559,https://github.com/facebook/pyrefly
410427,https://github.com/getwud/wud
410233,https://github.com/cs50/python-cs50
409321,https://github.com/Dokploy/dokploy
407927,https://github.com/david-swift/Memorize
406225,https://github.com/adamency/numen
403811,
403287,https://github.com/francisconeves97/jxscout
403227,https://github.com/DrewThomasson/ebook2audiobook
402685,https://github.com/globaleaks/globaleaks-whistleblowing-software
400393,https://github.com/raydak-labs/configarr
396125,
396031,https://github.com/ggml-org/whisper.cpp
395807,https://gitlab.com/mishakmak/pam-fprint-grosshack
395603,https://github.com/AdaptiveMotorControlLab/cebra
395399,https://github.com/CadQuery/cadquery
395237,https://github.com/louislam/dockge
395185,https://github.com/Marx79/Slpct
395055,
394751,https://github.com/jannis-baum/Vivify
394477,https://github.com/Jayy001/codexctl
394281,https://github.com/novoid/Memacs
394161,https://github.com/model-checking/kani
394011,
394005,
393939,https://github.com/distribyted/distribyted
393819,https://github.com/danielbrendel/hortusfox-web
393605,https://github.com/adityachandelgit/BookLore
393397,
393313,https://github.com/wpilibsuite/vscode-wpilib
393259,
393181,
392823,https://github.com/openjdk/wakefield
392473,https://github.com/jhumanj/opnform
392219,https://github.com/Tormak9970/Steam-Art-Manager
392139,https://github.com/spliit-app/spliit
391645,
391411,https://github.com/pop-os/system76-scheduler
391359,
391247,https://github.com/zerotier/zerotier-systemd-manager
390995,https://github.com/simonw/llm-mlx
390861,https://github.com/AndyFilter/YeetMouse
390831,
390793,https://github.com/certbot/certbot
390567,https://github.com/imsyy/SPlayer
390529,https://codeberg.org/guile-emacs/guile-emacs
390511,
390059,https://github.com/r9y9/pyopenjtalk
389657,https://github.com/GloriousEggroll/proton-ge-custom
389637,https://github.com/dstackai/dstack
389435,https://github.com/gjoseph92/stackstac
389385,https://github.com/theRealCarneiro/pulsemeeter
389367,https://github.com/crystal-lang-tools/tree-sitter-crystal
389335,https://github.com/adam7/delugia-code
